date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2022-01-01,522616160,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-01-16,522616160,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-02-01,522616160,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-02-16,522616160,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-03-01,522775540,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-03-16,522917892,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-04-01,524099023,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-04-16,5287706,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-05-01,29302234,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-05-16,63591994,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-06-01,107384320,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-06-16,146057467,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2022-07-01,188139245,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
